

AAPL Financials(Income Statement/Balance Sheet):

Income Statement for AAPL                                                        2023-09-30      2022-09-30      2021-09-30      2020-09-30
Total Non Current Liabilities Net Minority Interest         22724000000.0  25871000000.0  29867000000.0  28982000000.0
Other Non Current Liabilities                                 228000000.0    261000000.0    219000000.0    166000000.0
Liabilities Heldfor Sale Non Current                                  0.0    287000000.0            NaN            NaN
Employee Benefits                                             798000000.0    690000000.0   1145000000.0   1680000000.0
Non Current Pension And Other Postretirement Benefit Plans    544000000.0    492000000.0    876000000.0   1502000000.0
Tradeand Other Payables Non Current                          3782000000.0   4548000000.0   5231000000.0   4951000000.0
Non Current Deferred Liabilities                              249000000.0    221000000.0    213000000.0    205000000.0
Non Current Deferred Revenue                                  249000000.0    221000000.0    213000000.0    205000000.0
Long Term Debt And Capital Lease Obligation                 17661000000.0  19858000000.0  23057000000.0  21978000000.0
Long Term Capital Lease Obligation                            954000000.0    772000000.0    889000000.0    785000000.0
Long Term Debt                                              16707000000.0  19086000000.0  22168000000.0  21193000000.0
Long Term Provisions                                            6000000.0      6000000.0      2000000.0      2000000.0
Current Liabilities                                          8274000000.0   8389000000.0   8140000000.0   7402000000.0
Other Current Liabilities                                    1172000000.0   2230000000.0   1297000000.0   1727000000.0
Current Deferred Liabilities                                 1465000000.0   1456000000.0   1613000000.0   1212000000.0
Current Deferred Revenue                                     1465000000.0   1456000000.0   1613000000.0   1212000000.0
Current Debt And Capital Lease Obligation                    1875000000.0    758000000.0    215000000.0    200000000.0
Current Capital Lease Obligation                              180000000.0    167000000.0    207000000.0    189000000.0
Current Debt                                                 1695000000.0    591000000.0      8000000.0     11000000.0
Other Current Borrowings                                     1695000000.0    591000000.0      8000000.0     11000000.0
Pensionand Other Post Retirement Benefit Plans Current       1184000000.0   1222000000.0   1443000000.0   1462000000.0
Current Provisions                                            155000000.0    171000000.0    221000000.0    200000000.0
Payables And Accrued Expenses                                2423000000.0   2552000000.0   3351000000.0   2601000000.0
Current Accrued Expenses                                              NaN            NaN            NaN   1105000000.0
Payables                                                     2423000000.0   2552000000.0   3351000000.0   2601000000.0
Other Payable                                                  75000000.0     75000000.0     75000000.0            NaN
